,KE0 0,KE0 1,KE0 10,KE0 11,KE0 12,KE0 2,KE0 3,KE0 4,KE0 5,KE0 6,KE0 7,KE0 8,KE0 9,KE1 0,KE2 0
20,-125.13798487919362,-42.2663791619064,-22.92440838476905,41.99446437488765,-24.61334094430691,151.65963801555174,-65.50994908922503,90.00179274086301,3.957762090177285,-4.041605180681735,127.70000151486656,-86.55169640280012,-44.26829463849643,1.53431756189093e-09,4.793051289198047e-09
21,-127.31402856480364,-43.175564798440924,-27.203113182729197,78.08532722921237,-29.58191772767315,49.30672512234385,-77.37651981313316,347.9272293301829,-28.23721499183002,-13.554525813329766,22.650572946331746,-96.96188984652936,-54.56507985828169,1.8559944692242425e-09,2.3541240068425395e-09
22,-121.92614723799677,-45.82688952922561,-24.49316565213872,67.86786484854258,-26.77387045089654,141.94946413066282,-69.9743810756248,231.974644738131,-19.631934310777638,-12.329624588162686,12.821233546105514,-84.70051181592954,-48.95668257932182,7.730136530881282e-10,3.2162541518943044e-09
23,-99.51432969313836,-37.99556842625746,-19.917712267690554,17.179747459249498,-21.837229678317964,254.93897797200478,-57.03947960393978,83.28484875680404,-9.229773845347454,-9.212080374325007,4.321333857906528,-65.1495125592741,-39.82922157868862,3.070681486860849e-10,1.5824124233176917e-09
24,-97.60656052171731,-40.13210042653129,-19.494505752205157,13.905980187946405,-21.373238094692564,256.34017661997757,-55.750887025622035,79.01608606828253,-11.550527281654844,-9.449799367932902,8.505029414075437,-63.3303229041726,-39.07933089599674,4.1023895391845144e-10,1.6334134045337123e-09
25,-115.91960473302973,-48.69710618330681,-22.884190851736935,75.15645896559741,-24.982879476927184,150.17916467204003,-65.50698965165226,188.44449283098442,-18.05114113083818,-11.576486530783603,17.913748156724093,-78.80967856490282,-45.26578747230286,1.041598807205446e-09,2.370253326944294e-09
26,-124.88920839981897,-42.989100695513535,-22.04425951906489,37.3747413203465,-23.890855074096713,163.68459815446397,-65.34040565633696,76.02378587379877,6.728570465952232,-4.9907822089163645,131.63027157035336,-86.66067390010673,-44.636681873687,1.5453451851499267e-09,4.759890259720123e-09
27,-122.22569418657183,-40.38940693981808,-20.488424779327072,23.30969782570304,-23.021979946702785,185.9683969158118,-63.16404725612361,-8.316419564599842,10.747049139398237,-3.1086167716235082,187.98381819825758,-84.68503412952437,-42.60933844476014,3.3526248444104567e-09,4.802920727797755e-09
28,-124.44336516563261,-46.37512292587349,-22.579216706774208,56.38046183711057,-24.655249398256828,146.02090200156968,-65.68326581477525,100.9540931575967,-6.751681696380256,-6.224644232437853,125.88179913765973,-86.80135657446391,-45.72335356570519,1.383568815072067e-09,4.804853404039022e-09
29,-125.95800364867121,-41.451586170001896,-27.10743453686198,78.78525782621469,-29.494984286507705,48.33268056780295,-77.57890550882126,354.16521524242546,-32.14551085009797,-13.9938791743241,18.117478512252045,-97.01343714496299,-54.65689079920757,2.0866650629614014e-09,2.4427606604149332e-09
30,-122.42755589699809,-49.52382672723149,-24.480985775426426,69.5083288366794,-26.78211937025195,112.73265301791092,-70.10757599542502,267.0817618376225,-21.93175961351497,-12.518512018194013,12.0578203278043,-84.63354139939094,-48.97468719896675,9.209202289639506e-10,1.6218564269365743e-09
31,-96.2745474018551,-39.546689101715764,-19.217338865625166,20.568363526471128,-21.069359614811244,245.10555559117276,-55.033780618476094,85.01443549686812,-13.272416300127102,-9.053850194778622,2.661307744939339,-62.15537070618756,-37.7263095365918,-2.063984538835939e-10,1.5995595958884223e-09
32,-95.15525498731171,-41.376525291471985,-18.92751140137242,24.30277791446401,-20.75160116145934,245.71000394361312,-54.20379319889688,88.8165603970911,-16.562544052599968,-9.376639054464649,-3.9860479172392678,-60.91635369889611,-37.573071476069074,5.3887561080046e-10,8.199521062124404e-10
33,-113.02286146192776,-48.88837003778985,-22.166748859277234,69.13616900176432,-24.319869492190712,147.33147053834213,-63.563830551413155,202.36717605414609,-19.103869265780986,-10.946703679836343,3.0989013128000864,-75.97185460336254,-43.94960893250509,7.815970093361102e-10,1.6292105442516913e-09
34,-121.58042202923902,-44.52742890589348,-20.678765211953422,39.95555498552077,-23.142832083653797,158.6753752809793,-62.60346478351633,90.63653662796897,2.144262902974675,-5.163500592289784,111.82165971427621,-82.98483666864668,-42.55213918548291,5.555875759455375e-10,4.751745663611473e-09
35,-118.04444623916147,-39.99143673104951,-19.30479504842888,13.473857675671349,-21.010335328557694,183.47644870077988,-58.65625372845101,8.054698549271958,5.565573005989283,-2.470997551147228,170.66390329026964,-81.00088473808339,-40.75533180926789,1.0545591067057103e-09,4.819472820827286e-09
36,-122.01534460426186,-44.84082596369666,-21.528020132967452,53.59999575269823,-23.817322452670357,148.66505987180355,-63.7881934449251,97.3442340016432,-7.293740072124895,-5.422357546526768,117.6251170797201,-84.69306874594203,-43.83553369289868,1.0186340659856796e-09,4.76111505776089e-09
37,-130.49074192472966,-18.16782913420854,-28.041217102651057,76.89601221970283,-30.848974064210527,54.7648843931318,-80.78592766911235,343.6187166998673,-33.24125732560043,-14.599069077537452,20.115617110803164,-102.64187739879074,-56.57833669911165,2.017202405113494e-09,2.033708312865201e-09
38,-119.84597166503016,-48.37496202187591,-23.921389606120638,69.86560555461074,-26.18492521157064,117.64829824762626,-68.50503086631512,250.9487993134192,-22.418286700513693,-12.298445178515934,14.276459871567543,-83.00217269988512,-48.18797901444356,4.206981429888401e-10,1.5688144117120828e-09
39,-97.25103251973343,-40.90055230260433,-19.310838037759325,15.639309581761193,-21.17186976992206,248.25635958825154,-55.30154411406281,80.16737944909556,-9.341273389369443,-9.134260873324681,9.859700110790808,-63.14865901803901,-38.36271868796658,-1.1573320080060512e-10,1.577429742383174e-09
40,-95.42350992524612,-41.259766684621134,-18.92750768213583,8.51668981372169,-20.751597456917306,266.31475238091707,-54.203789445715536,75.81630907352323,-10.9146952198164,-9.300618961782057,-0.7636408249182675,-61.703188670979586,-37.39943637835147,5.88897819397971e-10,1.6171135541753756e-09
41,-113.72746362239339,-48.696739442081615,-22.393352146313067,67.90567358290976,-24.528572805049468,149.80155153287072,-64.08170480386315,204.56440803547895,-17.784058180348104,-10.984168608125115,1.430074505125445,-77.303612919086,-44.20203510352772,1.068542587745469e-09,1.613081224149937e-09
42,-121.09394253060333,-44.02808476847828,-20.983385999670414,42.626806017160554,-23.162846263100235,151.72250897251647,-62.197779481215875,105.06213855628712,-0.03799093198826183,-5.443182421248046,103.5316645793123,-83.14811993937441,-42.847785744133525,1.095486368285492e-09,3.967302042440224e-09
43,-118.9086012917524,-39.02992509387075,-19.023871617592015,5.372272851638622,-21.57566791311769,128.0747860218809,-58.541752216198766,87.50384504558689,8.059983884903081,-1.8150031177233072,152.03873038719104,-81.6311147488351,-40.52368214435831,1.901184987218585e-09,3.956330374421668e-09
44,-122.1478256556203,-44.71177890823402,-22.284827796798943,-4.608224037030801,-23.989694413855755,124.3109144666371,-64.0684868775088,192.88116452458866,-8.18499102961615,-5.480904113859209,108.19071050055884,-85.16993134220648,-44.73612526851955,4.566231837088708e-10,3.953022797986705e-09
45,-143.1588990616354,-58.25497595532752,-28.131371491655475,64.41791208158686,-30.91106980562659,-25.14599845367829,-81.15237241883771,499.8288126471571,-29.82202184145446,-14.072905262976695,5.080101161650068,-102.01934837159169,-56.657863203887246,7.692051440244541e-10,1.56879309543001e-09
46,-120.00038372235299,-49.99339560000404,-23.836777439509977,66.12546595635415,-26.1339862314103,106.25477321366381,-68.26276468477612,271.84129038396566,-13.741141785944961,-11.095286430039126,-1.7985411484817448,-82.35326512749592,-47.00598736716008,1.1789325071731582e-10,8.420499852945795e-10
