,KE0 0 oil,KE0 0 onwind,KE0 0 solar,KE0 1 oil,KE0 1 onwind,KE0 1 solar,KE0 10 onwind,KE0 10 solar,KE0 11 onwind,KE0 11 solar,KE0 12 onwind,KE0 12 solar,KE0 2 geothermal,KE0 2 oil,KE0 2 onwind,KE0 2 ror,KE0 2 solar,KE0 3 onwind,KE0 3 solar,KE0 4 onwind,KE0 4 ror,KE0 4 solar,KE0 5 onwind,KE0 5 solar,KE0 6 onwind,KE0 6 solar,KE0 7 onwind,KE0 7 solar,KE0 8 onwind,KE0 8 ror,KE0 8 solar,KE0 9 onwind,KE0 9 solar,KE1 0 oil,KE1 0 onwind,KE1 0 solar,KE2 0 onwind,KE2 0 solar
20,116.89999904608123,4.455766986812682e-06,6.59099038307371e-06,84.99999908180666,3.454546326369275e-06,6.319979519638187e-06,0.0,6.677251598926666e-06,3.4297057090496393e-06,5.60290879994971e-06,8.08774665774009e-06,4.9352266854872454e-06,6.175166565869249e-06,59.99999911974158,5.465384496089946e-06,2.4180421576147637e-06,4.964519988318678e-06,4.3491803556354354e-06,6.464712362017287e-06,1.2065254440811489e-05,1.9945691320799597e-06,7.155220461287287e-06,3.7104000503265465e-06,6.728993891870856e-06,3.694523440394011e-06,6.594630747720308e-06,3.8094069458297454e-06,6.226286133083647e-06,1.0328686081841413e-05,1.9203693781832953e-06,6.837549148244031e-06,5.363357518022109e-06,7.075675068353981e-06,412.1999992234504,0.02941520862624986,196.14147055629567,6.47237913060033e-06,5.055468388611436e-06
21,108.19078450057945,1.7407034461359468e-06,1.6744507544791603e-06,76.61717444327519,1.394575618650043e-06,1.6817046016765409e-06,2.2837391773069325e-06,1.7993324520088797e-06,1.1509208381655562e-06,1.373778296861066e-06,2.1585177153827333e-06,1.3426200545399642e-06,2.4681008000975817e-06,52.300517130564785,1.397962655672438e-06,1.0745440874870837e-06,1.3025164373585165e-06,1.4539457550841847e-06,1.7830559531393781e-06,3.498822894242833e-06,7.417315828206483e-07,1.8901266623663086e-06,1.2589702212912362e-06,1.6237051328941432e-06,1.2774434891231448e-06,1.727286727561581e-06,1.442243740974756e-06,1.5392991933634658e-06,2.4034889028712646e-06,7.319459456311961e-07,1.8020974265392932e-06,0.0,1.8202067373321391e-06,408.0247213045642,1.4555462142814534e-06,1.9204487699961248e-06,2.6124315971482095e-06,1.32223195769988e-06
22,116.89999901215937,4.491882250811647e-06,0.0,84.99999906350715,3.7204311019272305e-06,0.0,0.0,0.0,3.206063992811017e-06,0.0,9.999845151044948e-06,0.0,6.091612286123885e-06,59.99999911109119,7.625844234917415e-06,2.500921354453567e-06,0.0,5.1523039824982816e-06,0.0,0.0,1.938334438733591e-06,0.0,3.926077612976634e-06,0.0,3.751134050834834e-06,0.0,3.833010389728313e-06,0.0,1.4794403178013384e-05,1.92842935220483e-06,0.0,4.9886068695852144e-06,0.0,408.11479227171463,1.8944769363592627e-06,0.0,7.027798586305139e-06,0.0
23,116.89999900652107,4.3437663419755215e-06,0.0,84.9999990595891,3.551538179385511e-06,0.0,0.0,0.0,3.2077471045627844e-06,0.0,0.0,0.0,6.063772466807645e-06,59.999999107632725,0.0,2.4491322676567506e-06,0.0,0.0,0.0,0.0,1.928825806629675e-06,0.0,4.163315092311819e-06,0.0,3.7202185400848645e-06,0.0,3.631224010665554e-06,0.0,0.0,1.9167537459452433e-06,0.0,5.1847160308599295e-06,0.0,408.0578309247932,0.0,0.0,6.809867619739398e-06,0.0
24,116.89999904417766,4.302127898680491e-06,0.0,84.99999907915132,3.368715025804076e-06,0.0,0.0,0.0,3.389179467201652e-06,0.0,0.0,0.0,6.1216609711796e-06,59.99999911479107,0.0,2.4140361176705483e-06,0.0,6.0659933963936046e-06,0.0,0.0,1.943181885621925e-06,0.0,3.989635115671826e-06,0.0,3.715120910710256e-06,0.0,3.690920689453405e-06,0.0,1.4271679132865524e-05,1.93168708406688e-06,0.0,5.4031256032519785e-06,0.0,408.64065804817403,0.0,0.0,6.654727906235673e-06,0.0
25,116.89999900634439,4.3477462537431425e-06,5.489945453011485e-06,84.99999905949917,3.2490639705894133e-06,4.413581815284976e-06,0.0,5.519756321943947e-06,3.568804591742077e-06,3.399547281621492e-06,1.0391044529222885e-05,3.90988570968499e-06,6.1216417898241205e-06,59.999999108049664,6.586228211374168e-06,2.487512503535072e-06,3.3727225899748566e-06,0.0,5.141282249293823e-06,2.3734942420158127e-05,1.9383663349969993e-06,5.777909042137712e-06,3.6334778912826227e-06,4.226813606301578e-06,0.0,4.56502778301365e-06,3.831310452239995e-06,3.7427743981764718e-06,1.236174592464881e-05,1.9280791612175108e-06,5.028941241901743e-06,4.621231254232279e-06,5.185832885513076e-06,408.0457091485305,2.4359865624040316e-06,1.924600102307565e-06,6.3967207608390344e-06,3.5658645972451875e-06
26,116.89999900694062,4.405137878604011e-06,7.119217101234786e-06,84.99999906259069,3.414122341789711e-06,6.305897459033916e-06,0.0,6.916828782622369e-06,3.900753750369107e-06,5.130332128581683e-06,8.813934999190902e-06,5.202704440554248e-06,6.144547066016958e-06,59.99999911256675,6.123539391687653e-06,2.417881574956482e-06,4.919946982845076e-06,5.96001245520514e-06,6.621856939133854e-06,0.0,1.9348047288758607e-06,7.1701063310205e-06,3.7395920048796543e-06,6.7972182075490124e-06,3.726982766011715e-06,6.5484322947547854e-06,4.098507502964059e-06,5.907937179637129e-06,1.0747248906049565e-05,1.9038454865949461e-06,7.083231659989405e-06,4.966279992896036e-06,7.063518285581178e-06,412.1999991182619,0.019513551045114933,261.79261372750847,6.974765664272788e-06,4.892763895813463e-06
27,116.89999924479746,0.004493368565224425,0.003501845253736599,84.99999929075118,0.0015157812398530444,0.0029179712084831566,0.0,0.00366660184806401,0.0017364466035155826,0.002434132303390172,0.023480058128195855,0.0025455140417782593,13.820398943927417,59.99999932983601,0.017044461095188604,0.000974779408750237,0.002298768510568249,0.01285667691090227,0.0031777636213891343,0.039145636678887166,0.0007688728737527128,0.003665248962415428,0.001532827639071969,0.0031544601734641397,0.003788661092481268,0.00303645946097889,0.0018558465568099909,0.0027841595654697743,0.015639311704508364,0.0007357276236561461,0.0034853280569499628,0.015564549101288188,0.0035673640542203404,412.19999912247357,0.020817328201313105,250.99661763805514,0.0028515340436163386,0.002071846300872593
28,116.89999901403942,4.434637550340649e-06,6.974041908518498e-06,84.99999906821532,3.214170904740989e-06,6.225626293675897e-06,0.0,6.646241786296083e-06,3.4431016950831295e-06,5.490698166269541e-06,1.0306162174391154e-05,4.951192620326179e-06,6.132265895361301e-06,59.9999991170965,5.677604875350633e-06,2.5022329879220706e-06,4.86763185837796e-06,4.941908415676172e-06,6.4620073094679775e-06,0.0,2.0570814740494825e-06,6.995012733488173e-06,3.1561282483990187e-06,6.56687006262848e-06,0.0,6.435928081786251e-06,3.728839734100464e-06,6.1548076880469196e-06,1.0418725898330048e-05,1.9158021871135134e-06,6.854255406759348e-06,0.0,6.839084784224533e-06,412.1999991211079,0.013631044556365428,223.7718766587415,5.939719367390379e-06,4.887431455464491e-06
29,106.13175103693044,1.6339376809334738e-06,1.8569623254581303e-06,69.36739965995598,1.330217453282663e-06,1.6758236594559653e-06,0.0,1.8967581236440091e-06,1.3114361964134426e-06,1.4701790346638958e-06,2.234846065896272e-06,1.3595587209305483e-06,2.407750452525557e-06,40.981216682830194,1.4991618696301214e-06,1.0784845017042244e-06,1.3974278338034222e-06,1.3464748255570626e-06,1.8057231323649147e-06,0.0,8.309480143964265e-07,1.9388483585995382e-06,1.1984936549252493e-06,1.657870786338002e-06,0.0,1.7547333838782035e-06,1.4443658366055441e-06,1.6214417911675293e-06,2.3451334426106097e-06,7.751402755218351e-07,1.8190017971146446e-06,0.0,1.8488557236410563e-06,412.19999906066687,0.01784871984231244,0.07876630392104754,2.4709916556694445e-06,1.4170071169305137e-06
30,116.89999901047847,4.425517589416132e-06,0.0,84.99999906253146,3.474022524673697e-06,0.0,0.0,0.0,3.296867456386604e-06,0.0,1.050456994443742e-05,0.0,6.050227308717077e-06,59.999999109817935,6.359988022359418e-06,2.4689365858421297e-06,0.0,0.0,0.0,0.0,1.9242200757219052e-06,0.0,3.784698998526985e-06,0.0,3.7580094091908924e-06,0.0,3.817854629034341e-06,0.0,1.1525335548034374e-05,1.926941855856512e-06,0.0,5.083782753296462e-06,0.0,412.19999906840974,0.0049331738308763745,0.0,6.580571546884234e-06,0.0
31,116.89999900813366,4.3753431303976945e-06,0.0,84.99999906147463,3.3645586538159415e-06,0.0,0.0,0.0,3.2052235479942356e-06,0.0,0.0,0.0,6.019863920017076e-06,59.99999910874701,0.0,2.4364591126868618e-06,0.0,0.0,0.0,2.0001043678025186e-05,1.9163085021034476e-06,0.0,3.869487710572219e-06,0.0,3.7246241213694597e-06,0.0,3.6036632772426152e-06,0.0,0.0,1.91755670542193e-06,0.0,4.66031594393745e-06,0.0,412.19999906353956,0.0,0.0,5.9652094931853695e-06,0.0
32,116.8999990423508,4.568112083575136e-06,0.0,84.99999907826526,3.1131227798431324e-06,0.0,0.0,0.0,3.1781893148545227e-06,0.0,0.0,0.0,6.0852291739754995e-06,59.99999911417419,0.0,2.4044235402698177e-06,0.0,0.0,0.0,2.4213507260216423e-05,1.927152489145101e-06,0.0,3.5881854336821235e-06,0.0,3.723050813237154e-06,0.0,3.2770233123026025e-06,0.0,0.0,1.9300650784259687e-06,0.0,4.574490828771885e-06,0.0,412.19999917753114,0.0,0.0,5.351138843578314e-06,0.0
33,116.8999990087609,5.444194258643389e-06,5.53794657635932e-06,84.99999906189481,3.080315546020171e-06,4.158616632613866e-06,0.0,5.489632665842493e-06,3.159924173947056e-06,3.4061755701694614e-06,0.0,3.933113169187017e-06,6.076308170217985e-06,59.99999910996457,0.0,2.4712430217732617e-06,3.3768653912045586e-06,0.0,5.144684582800633e-06,0.0,1.922340235438469e-06,5.8481940843902885e-06,3.547724512396327e-06,4.212246097066243e-06,3.7524040608011693e-06,4.537237065105072e-06,3.2419949862695804e-06,3.73313235571581e-06,0.0,1.927197207152176e-06,5.034926031508755e-06,4.641119250590968e-06,5.19112578956836e-06,412.1999990606755,0.0,0.07888711416436638,5.1830359769046365e-06,3.5467294102667066e-06
34,116.8999990151906,5.212202239165003e-06,6.989508234820243e-06,84.99999907023955,3.1531220065577203e-06,6.214437913146156e-06,0.0,7.021302200378104e-06,3.370218074925386e-06,5.248849008495598e-06,0.0,5.1857718135782775e-06,6.1563055257245955e-06,59.99999911809716,0.0,2.432546551744963e-06,5.052841400915955e-06,0.0,6.593818535394495e-06,0.0,1.9204046814991216e-06,7.186459551374556e-06,3.4674343553627946e-06,6.694662356314961e-06,0.0,6.513170234926007e-06,3.510434295338758e-06,5.9350448005197155e-06,0.0,1.91028451723696e-06,7.015962602852747e-06,4.681835474634214e-06,7.01088747588415e-06,412.1999991219846,0.0,345.8903296827155,5.9654926420306364e-06,4.956871890703454e-06
35,116.89999928787257,0.01134028058109992,0.004791804985009527,84.99999931844296,0.002318328687356791,0.004451821462622133,0.0,0.004837352232948634,0.0021115848424099804,0.003999752261001528,0.0,0.0036087780590125774,9.565672800626697,59.99999934666824,0.0,0.0014135371796442087,0.00390261666621224,0.0,0.0046700277554392045,0.0,0.0010915296081037695,0.004850732359538231,0.0,0.004563409954739729,0.0,0.004462867598678805,0.002283697157245153,0.004322727201682168,0.0,0.001033629722680729,0.00469064235955296,0.011388898090842092,0.004813733747432403,412.1999992197257,0.00568602958016409,705.9606917768008,0.0037775364187541496,0.0034227218345882437
36,116.89999901746847,4.304203992314347e-06,7.048550949156027e-06,84.99999907118932,3.0760822333620192e-06,6.376682243803724e-06,0.0,6.859177124600794e-06,3.352723597707368e-06,5.512366771307943e-06,0.0,5.1103816464435996e-06,6.183437202106564e-06,59.999999120137154,6.9734983960575245e-06,2.4731368171160284e-06,5.0443984290054266e-06,0.0,6.561019448400659e-06,0.0,1.9501925407894305e-06,7.1285867070322135e-06,0.0,6.586036384296316e-06,0.0,6.511741032218072e-06,3.7455655943315724e-06,5.995764120513143e-06,0.0,1.9207842214541415e-06,6.885617710198477e-06,4.8808050735497e-06,6.913596766721667e-06,412.1999991210174,0.0032363752049503164,329.0382700909626,6.0355101803281526e-06,4.885356605624644e-06
