,39+3
933,35.80111174854759
934,0.9326498598394921
935,-23.514656807712225
936,-18.952332179421553
937,-2.9534978300999724
938,-62.12564936604882
939,-62.332982558768194
940,-36.0792955106891
941,17.678177226789828
942,7.707677029146761
943,14.286528293368564
944,19.420258753800486
945,26.777697921925284
946,-10.749607574177375
947,-11.360007030868191
948,1.0333317944632807
949,46.47495011726232
950,42.44052008965407
951,32.715606403994755
952,29.519362281957736
953,21.629656214443617
954,-26.890314326501297
955,-28.080468415637004
956,-1.8505005257924458
957,19.700905944489836
958,1.2347484169533895
959,-1.5299903454241444
960,9.915250966773629
961,21.41947544418988
962,-16.457919027316137
963,-24.611313993661387
964,-6.978886016713997
965,29.386932127326975
966,18.549295464625757
967,8.876532228538633
968,13.168410898348803
969,21.591086423212207
970,-36.71233550366021
971,-44.4751358416646
972,-15.654424952275798
973,10.395524884460999
974,-20.908355512395747
975,-20.976643014104635
976,-8.462724768582524
977,9.76219614982521
978,-50.279589046438225
979,-58.54551411222284
980,-37.04769335420427
981,8.10537333680684
982,-1.0679848511746637
983,-12.872773242471304
984,2.4591079811862824
985,16.538923605350284
986,-45.54498890375271
987,-54.70562558595072
988,-21.29520798899347
989,8.884089975561333
990,-13.598008807556946
991,-6.251954032689828
992,4.256158881434523
993,10.697746614162174
994,-42.69059752365523
995,-49.4244319487676
996,-43.271959700279396
997,-12.159019811534245
998,-6.246325494148699
999,5.890823348774363
1000,15.924485689481415
1001,27.58491116196145
1002,-20.592309069933258
1003,-40.69991281660997
1004,-39.55174771429778
1005,-12.060987844731965
1006,-11.627215865302082
1007,-14.039596482309815
1008,2.9961769800148055
1009,24.41193863770331
1010,-28.249725923215895
1011,-36.76105157138013
1012,-11.151160148398105
1013,36.65941122119548
1014,20.44156448153785
1015,6.37777081458335
1016,14.144964218190042
1017,17.943176982138112
1018,-43.19246745720433
1019,-63.02795985511138
1020,-15.326336389814216
1021,15.94824475968605
1022,-18.696283802366885
1023,-27.590178682256507
1024,-3.1543751550961634
1025,12.475894931808963
1026,-40.69149016646811
1027,-50.262564573215954
1028,-22.271957396443312
1029,12.592447616129935
1030,-0.49934527084901237
1031,4.108123611235664
1032,15.679343164161741
1033,22.983147249542117
1034,-24.184744973714817
1035,-35.75424594060211
1036,-4.263667438683334
1037,30.312622338714586
1038,7.297832222465967
1039,-10.782137724126653
1040,-3.9518851689784316
1041,6.133323025541598
1042,-50.171004481140635
1043,-72.81292341648536
1044,-71.4438797648457
1045,-38.027022177752855
1046,-28.12045482500132
1047,-15.181351681002186
1048,-1.8018878777917022
1049,-0.35373199310817915
1050,-67.05386583520922
1051,-72.14354622229624
1052,-45.216249014111106
1053,-9.176902782647623
1054,-25.483126295622654
1055,-24.470992644192986
1056,-13.594530612460673
1057,-8.49442283307428
1058,-57.32786652481155
1059,-64.02403458631447
1060,-45.28544063682334
1061,-9.651094203278383
1062,-31.915612266381494
1063,-32.970889445291775
1064,-22.292505392711988
1065,-23.02511135844014
1066,-82.68391491066303
1067,-86.83183643855585
1068,-53.85831684789514
1069,-17.87660543360546
1070,-31.238355700164323
1071,-35.12628183960493
1072,-21.851091818499583
1073,-14.933554803690331
1074,-79.03321277005635
1075,-73.2401764651451
1076,-34.15834374916886
1077,-5.43959777641162
1078,-24.456438679916012
1079,-32.43132247248839
1080,-15.161422820654568
1081,-10.993670776892952
1082,-81.27979005594132
1083,-72.06013838851557
1084,-27.612811053270885
1085,12.37324388400092
1086,-10.661479979830528
1087,-20.84180447549894
1088,-13.541539031114343
1089,-5.204354287372286
1090,-73.45491206612212
1091,-80.95264734569253
1092,-38.84414401320391
1093,-2.7403024754532326
1094,-36.67881829044703
1095,-58.554249609802504
1096,-41.53370078818203
1097,-35.42978182158951
1098,-103.60275275773841
1099,-77.96193188160427
1100,-43.33008395304889
1101,-15.597665502424258
1102,-31.212866395695915
1103,-39.670679831133974
1104,-35.797723812663676
1105,-9.641308973967513
1106,-73.54314093779838
1107,-71.10488564732648
1108,-12.72998504063783
1109,20.57569118199304
1110,-30.934449031632713
1111,-58.33085959154554
1112,-46.23773746403972
1113,-23.350761833924672
1114,-78.12678640477911
1115,-79.97541964388498
1116,-30.572371198595906
1117,18.917643895491
1118,0.7274701194513977
1119,-14.891191936882665
1120,-17.170345049212038
1121,-12.220344427342734
1122,-72.83025643794421
1123,-56.79892059396854
1124,-7.36433740953116
1125,18.169848044183237
1126,-9.724301878878844
1127,-37.212948775218095
1128,-30.925313149560182
1129,-13.585970714339568
1130,-75.3140779544119
1131,-50.53325114454212
1132,-14.298127739217387
1133,16.845229587767
1134,-3.8525234624280604
1135,-13.0071713936632
1136,-15.783265549353027
1137,-11.258711969172627
1138,-54.78637967775909
1139,-47.023129505879716
1140,-16.812132457348795
1141,21.2729369358941
1142,2.3793587472479487
1143,-18.674193526906674
1144,-9.022980022601542
1145,3.013084937337668
1146,-48.031811755606675
1147,-53.42345127435867
1148,-16.89667832161459
1149,27.429563275446824
1150,-0.2626032420593704
1151,-20.49637368836081
1152,-10.245971028697252
1153,-1.4617533272496346
1154,-58.92607257182661
1155,-62.97144654355425
1156,-23.29382798573871
1157,30.100337760472364
1158,-11.962409560502921
1159,-28.050834823030776
1160,-16.254134068226566
1161,-1.258163755835061
1162,-60.63346187145547
1163,-63.960965582862464
1164,-31.8562754698677
1165,3.832134675327992
1166,-29.26062973384797
1167,-32.57647741448622
1168,-21.39131479131559
1169,-12.809909672613887
1170,-74.86129064336295
1171,-64.13728630486598
1172,-31.21973022864449
1173,-5.009702666378347
1174,-26.674113809466174
1175,-37.57529188079257
1176,-17.415878958858112
1177,-8.05802444806993
1178,-65.3103909726575
1179,-64.71994357207612
1180,-41.77704079594778
1181,-4.805571639171763
1182,-13.926889540065051
1183,-25.397438433580746
1184,-10.607913547158162
1185,5.571394165690029
1186,-50.31142811768067
1187,-62.54810911491848
1188,-29.00798040477999
1189,-15.263452529067532
1190,-37.93434345945238
1191,-32.021995166108105
1192,-22.15050101465198
1193,-10.276450577546987
1194,-69.12258832733899
1195,-74.53756628022767
1196,-48.91837560371462
1197,-42.53455943331908
1198,-52.9710392504814
1199,-33.02069155393174
1200,-20.486655234586884
1201,-10.18899828990284
1202,-71.49863867564152
1203,-78.26796958620326
1204,-50.41143307993008
1205,-9.946664391832195
1206,-21.08491171085005
1207,-27.16349205514035
1208,-13.985856424131693
1209,-10.01052779505476
1210,-81.88353976076938
1211,-84.36137568580102
1212,-49.73908986716074
1213,-4.479260389336536
1214,-19.971222916807548
1215,-43.25950473896834
1216,-31.66378549807936
1217,-12.375950183862704
1218,-67.41476131139285
1219,-80.29701036877113
1220,-47.59543756750617
1221,-2.570224465872499
1222,-23.155676366075923
1223,-45.35779154463845
1224,-38.110274968584925
1225,-22.039646350919366
1226,-71.78999417708017
1227,-78.545894374792
1228,-42.7758044332651
1229,-2.5237357666024782
1230,-41.119637747405044
1231,-66.86665395710095
1232,-54.6326794903937
1233,-36.38294310531938
1234,-94.29140850262013
1235,-83.58832848549419
1236,-29.3208282374953
1237,-10.60184627718266
1238,-32.05277879444728
