,KE0 0 battery,KE0 1 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE1 0 battery
60,62887438.76516631,62914386.88033967,62913635.1433586,62894981.13902414,62940372.436354004,62920064.608687334,62923650.59396458,62909555.41147055,62887428.938200966,63068766.43319324
61,62887438.765166305,62914386.880339645,62913635.14335859,62894981.13902413,62940372.43635398,62920064.60868732,62923650.59396458,62909555.41147054,62887428.93820095,63068617.14516312
62,62887438.765166305,62914386.880339645,62913635.14335859,62894981.13902412,62940372.43635399,62920064.60868732,62923650.59396458,62909555.41147054,62887428.93820095,63068423.202118464
63,62887438.765166305,62914386.880339645,62913635.14335859,62894981.13902412,62940372.43635399,62920064.60868732,62923650.59396457,62909555.41147054,62887428.93820095,63068265.15637915
64,62887438.765166305,62914386.88033965,62913635.143358596,62894981.13902412,62940372.43635399,62920064.60868732,62923650.59396458,62909555.41147054,62887428.93820095,63068110.498267874
65,62887438.7651663,62914386.880339645,62913635.143358596,62894981.139024116,62940372.43635398,62920064.60868732,62923650.593964584,62909555.41147055,62887428.93820095,63067964.81298142
66,62887438.7651663,62914386.88033965,62913635.14335859,62894981.13902412,62940372.43635398,62920064.60868731,62923650.593964584,62909555.41147054,62887428.93820096,63068229.718067914
67,62887438.765166305,62914386.88033965,62913635.14335859,62894981.13902412,62940372.43635399,62920064.60868731,62923650.593964584,62909555.41147054,62887428.93820095,63068539.25665866
68,62887438.7651663,62914386.88033966,62913635.14335858,62894981.13902412,62940372.43635398,62920064.60868731,62923650.593964584,62909555.41147054,62887428.93820095,63068848.795249395
69,62887438.76516628,62914386.880339645,62913635.14335857,62894981.13902411,62940372.43635397,62920064.6086873,62923650.59396458,62909555.411470525,62887428.93820094,63068694.35432788
70,62887438.765166275,62914386.880339645,62913635.14335857,62894981.139024094,62940372.43635397,62920064.6086873,62923650.59396457,62909555.41147052,62887428.93820094,63068500.498958044
71,62887438.765166275,62914386.880339645,62913635.14335857,62894981.139024094,62940372.43635396,62920064.60868729,62923650.59396456,62909555.41147052,62887428.93820094,63068342.43778094
72,62887438.76516628,62914386.88033965,62913635.14335857,62894981.139024094,62940372.43635396,62920064.6086873,62923650.59396457,62909555.41147052,62887428.938200936,63068187.779669665
73,62887438.76516628,62914386.880339645,62913635.14335858,62894981.1390241,62940372.43635396,62920064.60868729,62923650.59396456,62909555.411470525,62887428.93820094,63068061.057491384
74,62887438.76516628,62914386.880339645,62913635.14335858,62894981.1390241,62940372.43635397,62920064.60868728,62923650.59396457,62909555.41147052,62887428.93820094,63068370.59608213
75,62887438.765166275,62914386.88033964,62913635.14335858,62894981.1390241,62940372.43635397,62920064.60868729,62923650.59396457,62909555.41147052,62887428.938200936,63068680.134672865
76,62887438.76516627,62914386.88033964,62913635.14335858,62894981.139024094,62940372.43635397,62920064.60868729,62923650.59396457,62909555.41147052,62887428.938200936,63068989.67326361
77,62887438.76516626,62914386.880339615,62913635.14335857,62894981.13902408,62940372.43635396,62920064.60868728,62923650.593964554,62909555.4114705,62887428.93820093,63068839.382130004
78,62887438.76516624,62914386.880339615,62913635.14335858,62894981.139024064,62940372.43635396,62920064.608687274,62923650.59396455,62909555.411470495,62887428.93820093,63068645.85490011
79,62887438.76516624,62914386.880339615,62913635.14335858,62894981.13902406,62940372.43635396,62920064.60868728,62923650.593964554,62909555.41147049,62887428.93820093,63068486.96032141
80,62887438.76516624,62914386.88033961,62913635.14335857,62894981.13902405,62940372.43635396,62920064.60868728,62923650.593964554,62909555.41147049,62887428.93820093,63068332.306683764
