,snapshot,objective,generators,stores
39,2013-01-05 21:00:00,3.0,3.0,3.0
40,2013-01-06 00:00:00,3.0,3.0,3.0
41,2013-01-06 03:00:00,3.0,3.0,3.0
42,2013-01-06 06:00:00,3.0,3.0,3.0
43,2013-01-06 09:00:00,3.0,3.0,3.0
44,2013-01-06 12:00:00,3.0,3.0,3.0
45,2013-01-06 15:00:00,3.0,3.0,3.0
46,2013-01-06 18:00:00,3.0,3.0,3.0
47,2013-01-06 21:00:00,3.0,3.0,3.0
48,2013-01-07 00:00:00,3.0,3.0,3.0
49,2013-01-07 03:00:00,3.0,3.0,3.0
50,2013-01-07 06:00:00,3.0,3.0,3.0
51,2013-01-07 09:00:00,3.0,3.0,3.0
52,2013-01-07 12:00:00,3.0,3.0,3.0
53,2013-01-07 15:00:00,3.0,3.0,3.0
54,2013-01-07 18:00:00,3.0,3.0,3.0
55,2013-01-07 21:00:00,3.0,3.0,3.0
56,2013-01-08 00:00:00,3.0,3.0,3.0
57,2013-01-08 03:00:00,3.0,3.0,3.0
58,2013-01-08 06:00:00,3.0,3.0,3.0
59,2013-01-08 09:00:00,3.0,3.0,3.0
60,2013-01-08 12:00:00,3.0,3.0,3.0
61,2013-01-08 15:00:00,3.0,3.0,3.0
62,2013-01-08 18:00:00,3.0,3.0,3.0
63,2013-01-08 21:00:00,3.0,3.0,3.0
64,2013-01-09 00:00:00,3.0,3.0,3.0
65,2013-01-09 03:00:00,3.0,3.0,3.0
66,2013-01-09 06:00:00,3.0,3.0,3.0
67,2013-01-09 09:00:00,3.0,3.0,3.0
68,2013-01-09 12:00:00,3.0,3.0,3.0
69,2013-01-09 15:00:00,3.0,3.0,3.0
70,2013-01-09 18:00:00,3.0,3.0,3.0
71,2013-01-09 21:00:00,3.0,3.0,3.0
72,2013-01-10 00:00:00,3.0,3.0,3.0
73,2013-01-10 03:00:00,3.0,3.0,3.0
74,2013-01-10 06:00:00,3.0,3.0,3.0
75,2013-01-10 09:00:00,3.0,3.0,3.0
76,2013-01-10 12:00:00,3.0,3.0,3.0
77,2013-01-10 15:00:00,3.0,3.0,3.0
78,2013-01-10 18:00:00,3.0,3.0,3.0
79,2013-01-10 21:00:00,3.0,3.0,3.0
80,2013-01-11 00:00:00,3.0,3.0,3.0
81,2013-01-11 03:00:00,3.0,3.0,3.0
82,2013-01-11 06:00:00,3.0,3.0,3.0
83,2013-01-11 09:00:00,3.0,3.0,3.0
84,2013-01-11 12:00:00,3.0,3.0,3.0
85,2013-01-11 15:00:00,3.0,3.0,3.0
86,2013-01-11 18:00:00,3.0,3.0,3.0
87,2013-01-11 21:00:00,3.0,3.0,3.0
88,2013-01-12 00:00:00,3.0,3.0,3.0
89,2013-01-12 03:00:00,3.0,3.0,3.0
90,2013-01-12 06:00:00,3.0,3.0,3.0
91,2013-01-12 09:00:00,3.0,3.0,3.0
92,2013-01-12 12:00:00,3.0,3.0,3.0
93,2013-01-12 15:00:00,3.0,3.0,3.0
94,2013-01-12 18:00:00,3.0,3.0,3.0
95,2013-01-12 21:00:00,3.0,3.0,3.0
96,2013-01-13 00:00:00,3.0,3.0,3.0
97,2013-01-13 03:00:00,3.0,3.0,3.0
98,2013-01-13 06:00:00,3.0,3.0,3.0
99,2013-01-13 09:00:00,3.0,3.0,3.0
100,2013-01-13 12:00:00,3.0,3.0,3.0
101,2013-01-13 15:00:00,3.0,3.0,3.0
102,2013-01-13 18:00:00,3.0,3.0,3.0
103,2013-01-13 21:00:00,3.0,3.0,3.0
104,2013-01-14 00:00:00,3.0,3.0,3.0
105,2013-01-14 03:00:00,3.0,3.0,3.0
106,2013-01-14 06:00:00,3.0,3.0,3.0
107,2013-01-14 09:00:00,3.0,3.0,3.0
108,2013-01-14 12:00:00,3.0,3.0,3.0
109,2013-01-14 15:00:00,3.0,3.0,3.0
110,2013-01-14 18:00:00,3.0,3.0,3.0
111,2013-01-14 21:00:00,3.0,3.0,3.0
112,2013-01-15 00:00:00,3.0,3.0,3.0
113,2013-01-15 03:00:00,3.0,3.0,3.0
114,2013-01-15 06:00:00,3.0,3.0,3.0
115,2013-01-15 09:00:00,3.0,3.0,3.0
116,2013-01-15 12:00:00,3.0,3.0,3.0
117,2013-01-15 15:00:00,3.0,3.0,3.0
118,2013-01-15 18:00:00,3.0,3.0,3.0
119,2013-01-15 21:00:00,3.0,3.0,3.0
120,2013-01-16 00:00:00,3.0,3.0,3.0
121,2013-01-16 03:00:00,3.0,3.0,3.0
122,2013-01-16 06:00:00,3.0,3.0,3.0
123,2013-01-16 09:00:00,3.0,3.0,3.0
124,2013-01-16 12:00:00,3.0,3.0,3.0
125,2013-01-16 15:00:00,3.0,3.0,3.0
126,2013-01-16 18:00:00,3.0,3.0,3.0
127,2013-01-16 21:00:00,3.0,3.0,3.0
128,2013-01-17 00:00:00,3.0,3.0,3.0
129,2013-01-17 03:00:00,3.0,3.0,3.0
130,2013-01-17 06:00:00,3.0,3.0,3.0
131,2013-01-17 09:00:00,3.0,3.0,3.0
132,2013-01-17 12:00:00,3.0,3.0,3.0
133,2013-01-17 15:00:00,3.0,3.0,3.0
134,2013-01-17 18:00:00,3.0,3.0,3.0
135,2013-01-17 21:00:00,3.0,3.0,3.0
136,2013-01-18 00:00:00,3.0,3.0,3.0
137,2013-01-18 03:00:00,3.0,3.0,3.0
138,2013-01-18 06:00:00,3.0,3.0,3.0
139,2013-01-18 09:00:00,3.0,3.0,3.0
140,2013-01-18 12:00:00,3.0,3.0,3.0
141,2013-01-18 15:00:00,3.0,3.0,3.0
142,2013-01-18 18:00:00,3.0,3.0,3.0
143,2013-01-18 21:00:00,3.0,3.0,3.0
144,2013-01-19 00:00:00,3.0,3.0,3.0
145,2013-01-19 03:00:00,3.0,3.0,3.0
146,2013-01-19 06:00:00,3.0,3.0,3.0
147,2013-01-19 09:00:00,3.0,3.0,3.0
148,2013-01-19 12:00:00,3.0,3.0,3.0
149,2013-01-19 15:00:00,3.0,3.0,3.0
150,2013-01-19 18:00:00,3.0,3.0,3.0
151,2013-01-19 21:00:00,3.0,3.0,3.0
152,2013-01-20 00:00:00,3.0,3.0,3.0
153,2013-01-20 03:00:00,3.0,3.0,3.0
154,2013-01-20 06:00:00,3.0,3.0,3.0
155,2013-01-20 09:00:00,3.0,3.0,3.0
156,2013-01-20 12:00:00,3.0,3.0,3.0
157,2013-01-20 15:00:00,3.0,3.0,3.0
158,2013-01-20 18:00:00,3.0,3.0,3.0
159,2013-01-20 21:00:00,3.0,3.0,3.0
160,2013-01-21 00:00:00,3.0,3.0,3.0
161,2013-01-21 03:00:00,3.0,3.0,3.0
162,2013-01-21 06:00:00,3.0,3.0,3.0
163,2013-01-21 09:00:00,3.0,3.0,3.0
164,2013-01-21 12:00:00,3.0,3.0,3.0
165,2013-01-21 15:00:00,3.0,3.0,3.0
166,2013-01-21 18:00:00,3.0,3.0,3.0
167,2013-01-21 21:00:00,3.0,3.0,3.0
168,2013-01-22 00:00:00,3.0,3.0,3.0
169,2013-01-22 03:00:00,3.0,3.0,3.0
170,2013-01-22 06:00:00,3.0,3.0,3.0
171,2013-01-22 09:00:00,3.0,3.0,3.0
172,2013-01-22 12:00:00,3.0,3.0,3.0
173,2013-01-22 15:00:00,3.0,3.0,3.0
174,2013-01-22 18:00:00,3.0,3.0,3.0
175,2013-01-22 21:00:00,3.0,3.0,3.0
176,2013-01-23 00:00:00,3.0,3.0,3.0
177,2013-01-23 03:00:00,3.0,3.0,3.0
178,2013-01-23 06:00:00,3.0,3.0,3.0
179,2013-01-23 09:00:00,3.0,3.0,3.0
180,2013-01-23 12:00:00,3.0,3.0,3.0
181,2013-01-23 15:00:00,3.0,3.0,3.0
182,2013-01-23 18:00:00,3.0,3.0,3.0
183,2013-01-23 21:00:00,3.0,3.0,3.0
184,2013-01-24 00:00:00,3.0,3.0,3.0
185,2013-01-24 03:00:00,3.0,3.0,3.0
186,2013-01-24 06:00:00,3.0,3.0,3.0
187,2013-01-24 09:00:00,3.0,3.0,3.0
188,2013-01-24 12:00:00,3.0,3.0,3.0
189,2013-01-24 15:00:00,3.0,3.0,3.0
190,2013-01-24 18:00:00,3.0,3.0,3.0
191,2013-01-24 21:00:00,3.0,3.0,3.0
192,2013-01-25 00:00:00,3.0,3.0,3.0
193,2013-01-25 03:00:00,3.0,3.0,3.0
194,2013-01-25 06:00:00,3.0,3.0,3.0
195,2013-01-25 09:00:00,3.0,3.0,3.0
196,2013-01-25 12:00:00,3.0,3.0,3.0
197,2013-01-25 15:00:00,3.0,3.0,3.0
198,2013-01-25 18:00:00,3.0,3.0,3.0
199,2013-01-25 21:00:00,3.0,3.0,3.0
200,2013-01-26 00:00:00,3.0,3.0,3.0
201,2013-01-26 03:00:00,3.0,3.0,3.0
202,2013-01-26 06:00:00,3.0,3.0,3.0
203,2013-01-26 09:00:00,3.0,3.0,3.0
204,2013-01-26 12:00:00,3.0,3.0,3.0
205,2013-01-26 15:00:00,3.0,3.0,3.0
206,2013-01-26 18:00:00,3.0,3.0,3.0
207,2013-01-26 21:00:00,3.0,3.0,3.0
208,2013-01-27 00:00:00,3.0,3.0,3.0
209,2013-01-27 03:00:00,3.0,3.0,3.0
210,2013-01-27 06:00:00,3.0,3.0,3.0
211,2013-01-27 09:00:00,3.0,3.0,3.0
212,2013-01-27 12:00:00,3.0,3.0,3.0
213,2013-01-27 15:00:00,3.0,3.0,3.0
214,2013-01-27 18:00:00,3.0,3.0,3.0
215,2013-01-27 21:00:00,3.0,3.0,3.0
216,2013-01-28 00:00:00,3.0,3.0,3.0
217,2013-01-28 03:00:00,3.0,3.0,3.0
218,2013-01-28 06:00:00,3.0,3.0,3.0
219,2013-01-28 09:00:00,3.0,3.0,3.0
220,2013-01-28 12:00:00,3.0,3.0,3.0
221,2013-01-28 15:00:00,3.0,3.0,3.0
222,2013-01-28 18:00:00,3.0,3.0,3.0
223,2013-01-28 21:00:00,3.0,3.0,3.0
224,2013-01-29 00:00:00,3.0,3.0,3.0
225,2013-01-29 03:00:00,3.0,3.0,3.0
226,2013-01-29 06:00:00,3.0,3.0,3.0
227,2013-01-29 09:00:00,3.0,3.0,3.0
228,2013-01-29 12:00:00,3.0,3.0,3.0
229,2013-01-29 15:00:00,3.0,3.0,3.0
230,2013-01-29 18:00:00,3.0,3.0,3.0
231,2013-01-29 21:00:00,3.0,3.0,3.0
232,2013-01-30 00:00:00,3.0,3.0,3.0
233,2013-01-30 03:00:00,3.0,3.0,3.0
234,2013-01-30 06:00:00,3.0,3.0,3.0
235,2013-01-30 09:00:00,3.0,3.0,3.0
236,2013-01-30 12:00:00,3.0,3.0,3.0
237,2013-01-30 15:00:00,3.0,3.0,3.0
238,2013-01-30 18:00:00,3.0,3.0,3.0
239,2013-01-30 21:00:00,3.0,3.0,3.0
240,2013-01-31 00:00:00,3.0,3.0,3.0
241,2013-01-31 03:00:00,3.0,3.0,3.0
242,2013-01-31 06:00:00,3.0,3.0,3.0
243,2013-01-31 09:00:00,3.0,3.0,3.0
244,2013-01-31 12:00:00,3.0,3.0,3.0
245,2013-01-31 15:00:00,3.0,3.0,3.0
246,2013-01-31 18:00:00,3.0,3.0,3.0
247,2013-01-31 21:00:00,3.0,3.0,3.0
248,2013-02-01 00:00:00,3.0,3.0,3.0
249,2013-02-01 03:00:00,3.0,3.0,3.0
250,2013-02-01 06:00:00,3.0,3.0,3.0
251,2013-02-01 09:00:00,3.0,3.0,3.0
252,2013-02-01 12:00:00,3.0,3.0,3.0
253,2013-02-01 15:00:00,3.0,3.0,3.0
254,2013-02-01 18:00:00,3.0,3.0,3.0
255,2013-02-01 21:00:00,3.0,3.0,3.0
256,2013-02-02 00:00:00,3.0,3.0,3.0
257,2013-02-02 03:00:00,3.0,3.0,3.0
258,2013-02-02 06:00:00,3.0,3.0,3.0
259,2013-02-02 09:00:00,3.0,3.0,3.0
260,2013-02-02 12:00:00,3.0,3.0,3.0
261,2013-02-02 15:00:00,3.0,3.0,3.0
262,2013-02-02 18:00:00,3.0,3.0,3.0
263,2013-02-02 21:00:00,3.0,3.0,3.0
264,2013-02-03 00:00:00,3.0,3.0,3.0
265,2013-02-03 03:00:00,3.0,3.0,3.0
266,2013-02-03 06:00:00,3.0,3.0,3.0
267,2013-02-03 09:00:00,3.0,3.0,3.0
268,2013-02-03 12:00:00,3.0,3.0,3.0
269,2013-02-03 15:00:00,3.0,3.0,3.0
270,2013-02-03 18:00:00,3.0,3.0,3.0
271,2013-02-03 21:00:00,3.0,3.0,3.0
272,2013-02-04 00:00:00,3.0,3.0,3.0
273,2013-02-04 03:00:00,3.0,3.0,3.0
274,2013-02-04 06:00:00,3.0,3.0,3.0
275,2013-02-04 09:00:00,3.0,3.0,3.0
276,2013-02-04 12:00:00,3.0,3.0,3.0
277,2013-02-04 15:00:00,3.0,3.0,3.0
278,2013-02-04 18:00:00,3.0,3.0,3.0
279,2013-02-04 21:00:00,3.0,3.0,3.0
280,2013-02-05 00:00:00,3.0,3.0,3.0
281,2013-02-05 03:00:00,3.0,3.0,3.0
282,2013-02-05 06:00:00,3.0,3.0,3.0
283,2013-02-05 09:00:00,3.0,3.0,3.0
284,2013-02-05 12:00:00,3.0,3.0,3.0
285,2013-02-05 15:00:00,3.0,3.0,3.0
286,2013-02-05 18:00:00,3.0,3.0,3.0
287,2013-02-05 21:00:00,3.0,3.0,3.0
288,2013-02-06 00:00:00,3.0,3.0,3.0
289,2013-02-06 03:00:00,3.0,3.0,3.0
290,2013-02-06 06:00:00,3.0,3.0,3.0
291,2013-02-06 09:00:00,3.0,3.0,3.0
292,2013-02-06 12:00:00,3.0,3.0,3.0
293,2013-02-06 15:00:00,3.0,3.0,3.0
294,2013-02-06 18:00:00,3.0,3.0,3.0
295,2013-02-06 21:00:00,3.0,3.0,3.0
296,2013-02-07 00:00:00,3.0,3.0,3.0
297,2013-02-07 03:00:00,3.0,3.0,3.0
298,2013-02-07 06:00:00,3.0,3.0,3.0
299,2013-02-07 09:00:00,3.0,3.0,3.0
300,2013-02-07 12:00:00,3.0,3.0,3.0
301,2013-02-07 15:00:00,3.0,3.0,3.0
302,2013-02-07 18:00:00,3.0,3.0,3.0
303,2013-02-07 21:00:00,3.0,3.0,3.0
304,2013-02-08 00:00:00,3.0,3.0,3.0
305,2013-02-08 03:00:00,3.0,3.0,3.0
306,2013-02-08 06:00:00,3.0,3.0,3.0
307,2013-02-08 09:00:00,3.0,3.0,3.0
308,2013-02-08 12:00:00,3.0,3.0,3.0
309,2013-02-08 15:00:00,3.0,3.0,3.0
310,2013-02-08 18:00:00,3.0,3.0,3.0
311,2013-02-08 21:00:00,3.0,3.0,3.0
312,2013-02-09 00:00:00,3.0,3.0,3.0
313,2013-02-09 03:00:00,3.0,3.0,3.0
314,2013-02-09 06:00:00,3.0,3.0,3.0
315,2013-02-09 09:00:00,3.0,3.0,3.0
316,2013-02-09 12:00:00,3.0,3.0,3.0
317,2013-02-09 15:00:00,3.0,3.0,3.0
318,2013-02-09 18:00:00,3.0,3.0,3.0
319,2013-02-09 21:00:00,3.0,3.0,3.0
320,2013-02-10 00:00:00,3.0,3.0,3.0
321,2013-02-10 03:00:00,3.0,3.0,3.0
322,2013-02-10 06:00:00,3.0,3.0,3.0
323,2013-02-10 09:00:00,3.0,3.0,3.0
324,2013-02-10 12:00:00,3.0,3.0,3.0
325,2013-02-10 15:00:00,3.0,3.0,3.0
326,2013-02-10 18:00:00,3.0,3.0,3.0
327,2013-02-10 21:00:00,3.0,3.0,3.0
328,2013-02-11 00:00:00,3.0,3.0,3.0
329,2013-02-11 03:00:00,3.0,3.0,3.0
330,2013-02-11 06:00:00,3.0,3.0,3.0
331,2013-02-11 09:00:00,3.0,3.0,3.0
332,2013-02-11 12:00:00,3.0,3.0,3.0
333,2013-02-11 15:00:00,3.0,3.0,3.0
334,2013-02-11 18:00:00,3.0,3.0,3.0
335,2013-02-11 21:00:00,3.0,3.0,3.0
336,2013-02-12 00:00:00,3.0,3.0,3.0
337,2013-02-12 03:00:00,3.0,3.0,3.0
338,2013-02-12 06:00:00,3.0,3.0,3.0
339,2013-02-12 09:00:00,3.0,3.0,3.0
340,2013-02-12 12:00:00,3.0,3.0,3.0
341,2013-02-12 15:00:00,3.0,3.0,3.0
342,2013-02-12 18:00:00,3.0,3.0,3.0
343,2013-02-12 21:00:00,3.0,3.0,3.0
344,2013-02-13 00:00:00,3.0,3.0,3.0
345,2013-02-13 03:00:00,3.0,3.0,3.0
346,2013-02-13 06:00:00,3.0,3.0,3.0
347,2013-02-13 09:00:00,3.0,3.0,3.0
348,2013-02-13 12:00:00,3.0,3.0,3.0
349,2013-02-13 15:00:00,3.0,3.0,3.0
350,2013-02-13 18:00:00,3.0,3.0,3.0
351,2013-02-13 21:00:00,3.0,3.0,3.0
352,2013-02-14 00:00:00,3.0,3.0,3.0
353,2013-02-14 03:00:00,3.0,3.0,3.0
354,2013-02-14 06:00:00,3.0,3.0,3.0
355,2013-02-14 09:00:00,3.0,3.0,3.0
356,2013-02-14 12:00:00,3.0,3.0,3.0
357,2013-02-14 15:00:00,3.0,3.0,3.0
358,2013-02-14 18:00:00,3.0,3.0,3.0
359,2013-02-14 21:00:00,3.0,3.0,3.0
360,2013-02-15 00:00:00,3.0,3.0,3.0
361,2013-02-15 03:00:00,3.0,3.0,3.0
362,2013-02-15 06:00:00,3.0,3.0,3.0
363,2013-02-15 09:00:00,3.0,3.0,3.0
364,2013-02-15 12:00:00,3.0,3.0,3.0
365,2013-02-15 15:00:00,3.0,3.0,3.0
366,2013-02-15 18:00:00,3.0,3.0,3.0
367,2013-02-15 21:00:00,3.0,3.0,3.0
368,2013-02-16 00:00:00,3.0,3.0,3.0
369,2013-02-16 03:00:00,3.0,3.0,3.0
370,2013-02-16 06:00:00,3.0,3.0,3.0
371,2013-02-16 09:00:00,3.0,3.0,3.0
372,2013-02-16 12:00:00,3.0,3.0,3.0
373,2013-02-16 15:00:00,3.0,3.0,3.0
374,2013-02-16 18:00:00,3.0,3.0,3.0
375,2013-02-16 21:00:00,3.0,3.0,3.0
376,2013-02-17 00:00:00,3.0,3.0,3.0
377,2013-02-17 03:00:00,3.0,3.0,3.0
378,2013-02-17 06:00:00,3.0,3.0,3.0
379,2013-02-17 09:00:00,3.0,3.0,3.0
380,2013-02-17 12:00:00,3.0,3.0,3.0
381,2013-02-17 15:00:00,3.0,3.0,3.0
382,2013-02-17 18:00:00,3.0,3.0,3.0
383,2013-02-17 21:00:00,3.0,3.0,3.0
384,2013-02-18 00:00:00,3.0,3.0,3.0
385,2013-02-18 03:00:00,3.0,3.0,3.0
386,2013-02-18 06:00:00,3.0,3.0,3.0
387,2013-02-18 09:00:00,3.0,3.0,3.0
388,2013-02-18 12:00:00,3.0,3.0,3.0
389,2013-02-18 15:00:00,3.0,3.0,3.0
390,2013-02-18 18:00:00,3.0,3.0,3.0
391,2013-02-18 21:00:00,3.0,3.0,3.0
392,2013-02-19 00:00:00,3.0,3.0,3.0
393,2013-02-19 03:00:00,3.0,3.0,3.0
394,2013-02-19 06:00:00,3.0,3.0,3.0
395,2013-02-19 09:00:00,3.0,3.0,3.0
396,2013-02-19 12:00:00,3.0,3.0,3.0
397,2013-02-19 15:00:00,3.0,3.0,3.0
398,2013-02-19 18:00:00,3.0,3.0,3.0
399,2013-02-19 21:00:00,3.0,3.0,3.0
400,2013-02-20 00:00:00,3.0,3.0,3.0
401,2013-02-20 03:00:00,3.0,3.0,3.0
402,2013-02-20 06:00:00,3.0,3.0,3.0
403,2013-02-20 09:00:00,3.0,3.0,3.0
404,2013-02-20 12:00:00,3.0,3.0,3.0
405,2013-02-20 15:00:00,3.0,3.0,3.0
406,2013-02-20 18:00:00,3.0,3.0,3.0
407,2013-02-20 21:00:00,3.0,3.0,3.0
408,2013-02-21 00:00:00,3.0,3.0,3.0
409,2013-02-21 03:00:00,3.0,3.0,3.0
410,2013-02-21 06:00:00,3.0,3.0,3.0
411,2013-02-21 09:00:00,3.0,3.0,3.0
412,2013-02-21 12:00:00,3.0,3.0,3.0
413,2013-02-21 15:00:00,3.0,3.0,3.0
414,2013-02-21 18:00:00,3.0,3.0,3.0
415,2013-02-21 21:00:00,3.0,3.0,3.0
416,2013-02-22 00:00:00,3.0,3.0,3.0
417,2013-02-22 03:00:00,3.0,3.0,3.0
418,2013-02-22 06:00:00,3.0,3.0,3.0
419,2013-02-22 09:00:00,3.0,3.0,3.0
420,2013-02-22 12:00:00,3.0,3.0,3.0
421,2013-02-22 15:00:00,3.0,3.0,3.0
422,2013-02-22 18:00:00,3.0,3.0,3.0
423,2013-02-22 21:00:00,3.0,3.0,3.0
424,2013-02-23 00:00:00,3.0,3.0,3.0
425,2013-02-23 03:00:00,3.0,3.0,3.0
426,2013-02-23 06:00:00,3.0,3.0,3.0
427,2013-02-23 09:00:00,3.0,3.0,3.0
428,2013-02-23 12:00:00,3.0,3.0,3.0
429,2013-02-23 15:00:00,3.0,3.0,3.0
430,2013-02-23 18:00:00,3.0,3.0,3.0
431,2013-02-23 21:00:00,3.0,3.0,3.0
432,2013-02-24 00:00:00,3.0,3.0,3.0
433,2013-02-24 03:00:00,3.0,3.0,3.0
434,2013-02-24 06:00:00,3.0,3.0,3.0
435,2013-02-24 09:00:00,3.0,3.0,3.0
436,2013-02-24 12:00:00,3.0,3.0,3.0
437,2013-02-24 15:00:00,3.0,3.0,3.0
438,2013-02-24 18:00:00,3.0,3.0,3.0
439,2013-02-24 21:00:00,3.0,3.0,3.0
440,2013-02-25 00:00:00,3.0,3.0,3.0
441,2013-02-25 03:00:00,3.0,3.0,3.0
442,2013-02-25 06:00:00,3.0,3.0,3.0
443,2013-02-25 09:00:00,3.0,3.0,3.0
444,2013-02-25 12:00:00,3.0,3.0,3.0
445,2013-02-25 15:00:00,3.0,3.0,3.0
446,2013-02-25 18:00:00,3.0,3.0,3.0
447,2013-02-25 21:00:00,3.0,3.0,3.0
448,2013-02-26 00:00:00,3.0,3.0,3.0
449,2013-02-26 03:00:00,3.0,3.0,3.0
450,2013-02-26 06:00:00,3.0,3.0,3.0
451,2013-02-26 09:00:00,3.0,3.0,3.0
452,2013-02-26 12:00:00,3.0,3.0,3.0
453,2013-02-26 15:00:00,3.0,3.0,3.0
454,2013-02-26 18:00:00,3.0,3.0,3.0
455,2013-02-26 21:00:00,3.0,3.0,3.0
456,2013-02-27 00:00:00,3.0,3.0,3.0
457,2013-02-27 03:00:00,3.0,3.0,3.0
458,2013-02-27 06:00:00,3.0,3.0,3.0
459,2013-02-27 09:00:00,3.0,3.0,3.0
460,2013-02-27 12:00:00,3.0,3.0,3.0
461,2013-02-27 15:00:00,3.0,3.0,3.0
462,2013-02-27 18:00:00,3.0,3.0,3.0
463,2013-02-27 21:00:00,3.0,3.0,3.0
464,2013-02-28 00:00:00,3.0,3.0,3.0
465,2013-02-28 03:00:00,3.0,3.0,3.0
466,2013-02-28 06:00:00,3.0,3.0,3.0
467,2013-02-28 09:00:00,3.0,3.0,3.0
468,2013-02-28 12:00:00,3.0,3.0,3.0
469,2013-02-28 15:00:00,3.0,3.0,3.0
470,2013-02-28 18:00:00,3.0,3.0,3.0
471,2013-02-28 21:00:00,3.0,3.0,3.0
472,2013-03-01 00:00:00,3.0,3.0,3.0
473,2013-03-01 03:00:00,3.0,3.0,3.0
474,2013-03-01 06:00:00,3.0,3.0,3.0
475,2013-03-01 09:00:00,3.0,3.0,3.0
476,2013-03-01 12:00:00,3.0,3.0,3.0
477,2013-03-01 15:00:00,3.0,3.0,3.0
478,2013-03-01 18:00:00,3.0,3.0,3.0
479,2013-03-01 21:00:00,3.0,3.0,3.0
480,2013-03-02 00:00:00,3.0,3.0,3.0
481,2013-03-02 03:00:00,3.0,3.0,3.0
482,2013-03-02 06:00:00,3.0,3.0,3.0
483,2013-03-02 09:00:00,3.0,3.0,3.0
484,2013-03-02 12:00:00,3.0,3.0,3.0
485,2013-03-02 15:00:00,3.0,3.0,3.0
486,2013-03-02 18:00:00,3.0,3.0,3.0
487,2013-03-02 21:00:00,3.0,3.0,3.0
488,2013-03-03 00:00:00,3.0,3.0,3.0
489,2013-03-03 03:00:00,3.0,3.0,3.0
490,2013-03-03 06:00:00,3.0,3.0,3.0
491,2013-03-03 09:00:00,3.0,3.0,3.0
492,2013-03-03 12:00:00,3.0,3.0,3.0
493,2013-03-03 15:00:00,3.0,3.0,3.0
494,2013-03-03 18:00:00,3.0,3.0,3.0
495,2013-03-03 21:00:00,3.0,3.0,3.0
496,2013-03-04 00:00:00,3.0,3.0,3.0
497,2013-03-04 03:00:00,3.0,3.0,3.0
498,2013-03-04 06:00:00,3.0,3.0,3.0
499,2013-03-04 09:00:00,3.0,3.0,3.0
500,2013-03-04 12:00:00,3.0,3.0,3.0
501,2013-03-04 15:00:00,3.0,3.0,3.0
502,2013-03-04 18:00:00,3.0,3.0,3.0
503,2013-03-04 21:00:00,3.0,3.0,3.0
504,2013-03-05 00:00:00,3.0,3.0,3.0
505,2013-03-05 03:00:00,3.0,3.0,3.0
506,2013-03-05 06:00:00,3.0,3.0,3.0
507,2013-03-05 09:00:00,3.0,3.0,3.0
508,2013-03-05 12:00:00,3.0,3.0,3.0
509,2013-03-05 15:00:00,3.0,3.0,3.0
510,2013-03-05 18:00:00,3.0,3.0,3.0
511,2013-03-05 21:00:00,3.0,3.0,3.0
512,2013-03-06 00:00:00,3.0,3.0,3.0
513,2013-03-06 03:00:00,3.0,3.0,3.0
514,2013-03-06 06:00:00,3.0,3.0,3.0
515,2013-03-06 09:00:00,3.0,3.0,3.0
516,2013-03-06 12:00:00,3.0,3.0,3.0
