,KE0 0 battery charger,KE0 1 battery charger,KE0 2 battery charger,KE0 3 battery charger,KE0 4 battery charger,KE0 5 battery charger,KE0 6 battery charger,KE0 7 battery charger,KE0 8 battery charger,KE1 0 battery charger,KE0 0 battery discharger,KE0 1 battery discharger,KE0 2 battery discharger,KE0 3 battery discharger,KE0 4 battery discharger,KE0 5 battery discharger,KE0 6 battery discharger,KE0 7 battery discharger,KE0 8 battery discharger,KE1 0 battery discharger
10,-1.1047229282269556e-09,-1.1063172124581204e-09,-1.1075237049830411e-09,-1.0973942118780813e-09,-1.1071413715254766e-09,-1.1057863830495829e-09,-1.1101207684550158e-09,-1.106287621394013e-09,-1.107630261740644e-09,-103.17953024792418,-1.2050576857055713e-09,-1.2026952779753144e-09,-1.201553881564232e-09,-1.2144524088227148e-09,-1.2022227040806483e-09,-1.20394485203755e-09,-1.1983414351330765e-09,-1.2031197135094753e-09,-1.2011876296951428e-09,-5.553094854965461e-11
11,-2.7603147828899e-09,-2.7600847257410505e-09,-2.7602144432545097e-09,-2.760548227037457e-09,-2.7603552426013057e-09,-2.760389679684665e-09,-2.760145616689725e-09,-2.7602984064436687e-09,-2.7601085049258964e-09,-103.17953024792418,-1.2467234946769593e-10,-1.246368666036113e-10,-1.2461708048983656e-10,-1.2481376362546434e-10,-1.2462842107770364e-10,-1.2465394035036246e-10,-1.245669206123046e-10,-1.2464282193531945e-10,-1.2461238620780125e-10,-5.553094873820905e-11
12,-1.1047283466132538e-09,-1.1063221377350587e-09,-1.1075255922503097e-09,-1.0973973729923898e-09,-1.1071478722450251e-09,-1.1057877127274507e-09,-1.1101245176173594e-09,-1.1062912679862668e-09,-1.1076311633052456e-09,-89.32859637494433,-1.2049198544121892e-09,-1.202577333895441e-09,-1.2014078997867589e-09,-1.2142660977987967e-09,-1.2020970626337496e-09,-1.2037971699820075e-09,-1.198218175162244e-09,-1.203009320780816e-09,-1.2010674011925666e-09,-7.064120141089781e-10
13,-4.4558201028216133e-11,-4.4561877895352907e-11,-4.456453259347925e-11,-4.454156673326694e-11,-4.4563627325715154e-11,-4.456057109446939e-11,-4.4570406920546255e-11,-4.4561725761183354e-11,-4.4564815154949275e-11,-6.78155523783911e-10,-2.9624248019737217e-09,-2.96214661810986e-09,-2.962255627843162e-09,-2.9628365736762693e-09,-2.9624128135684868e-09,-2.962479274531425e-09,-2.9621246142683928e-09,-2.9623722340766854e-09,-2.9621417057887414e-09,-55.612349808340014
14,-1.104812533899563e-09,-1.1064162360213568e-09,-1.1075725135074052e-09,-1.0974688430526434e-09,-1.1072268324984472e-09,-1.1058387284502783e-09,-1.1101828788112924e-09,-1.106387502134355e-09,-1.1076668405780046e-09,-6.781555241586278e-10,-1.204880670680164e-09,-1.2025506445133416e-09,-1.2013423864790695e-09,-1.2141030540803607e-09,-1.2020571091711572e-09,-1.2037490217782688e-09,-1.1980897149859413e-09,-1.2029809804154227e-09,-1.201003962081408e-09,-62.115941141038725
15,-1.1047980173302796e-09,-1.1063975268842236e-09,-1.1075617303245256e-09,-1.0974637960887325e-09,-1.1072093384317314e-09,-1.105833539900246e-09,-1.1101699120345702e-09,-1.1063671036404412e-09,-1.1076614131715256e-09,-6.781555235649859e-10,-1.2048709296821641e-09,-1.2025405588650314e-09,-1.2013206801910492e-09,-1.214075931150994e-09,-1.2020491718825767e-09,-1.2037300580491599e-09,-1.198067917537534e-09,-1.2029707266607814e-09,-1.2009858720257622e-09,-50.72060154564918
16,-1.1047913743595778e-09,-1.1063916025982136e-09,-1.1075582440717962e-09,-1.0974546792434982e-09,-1.1072027378747255e-09,-1.1058287662949296e-09,-1.110160446905875e-09,-1.106360967355736e-09,-1.107657595588213e-09,-6.781555235094493e-10,-1.2048710901609694e-09,-1.202540588769044e-09,-1.2013231584322036e-09,-1.2140665741379581e-09,-1.2020491815910346e-09,-1.2037296401879718e-09,-1.1980626463558212e-09,-1.2029707920752552e-09,-1.2009867728873123e-09,-49.47185926247901
17,-1.1047888859394486e-09,-1.1063883095349966e-09,-1.107565860555202e-09,-1.0974594499655021e-09,-1.1071981255321769e-09,-1.1058302018474061e-09,-1.1101599172377444e-09,-1.1063593731341799e-09,-1.107664875376535e-09,-6.781555231426702e-10,-1.2048711021786485e-09,-1.2025399083532715e-09,-1.2013245400692829e-09,-1.2140930418161366e-09,-1.2020498368920592e-09,-1.2037278303443327e-09,-1.1980833234204923e-09,-1.2029699506895177e-09,-1.200987658777283e-09,-43.72824001501301
18,-1.1047136687275094e-09,-1.1063060446331788e-09,-1.10751982594139e-09,-1.0973948456605021e-09,-1.1071315288609343e-09,-1.1057888561754664e-09,-1.1101226921391516e-09,-1.1062751093515983e-09,-1.1076319333512353e-09,-103.17953024792416,-1.204955802974016e-09,-1.2026061299665755e-09,-1.201391316247035e-09,-1.2141894251974901e-09,-1.2021267005644832e-09,-1.2038206220385491e-09,-1.1981545541968649e-09,-1.2030284658444925e-09,-1.2010866845447703e-09,-5.5530944780171166e-11
19,-2.7603148182786937e-09,-2.7600847719925943e-09,-2.760214360759734e-09,-2.760548226166765e-09,-2.7603552584127216e-09,-2.7603896757326596e-09,-2.760145674728972e-09,-2.7602984728196607e-09,-2.7601084331736663e-09,-103.17953024792418,-1.2467295865561044e-10,-1.246375720656164e-10,-1.2461775035141128e-10,-1.2481415820328154e-10,-1.2462911196711625e-10,-1.2465446984937063e-10,-1.2456732410382326e-10,-1.246435375901422e-10,-1.24613052823901e-10,-5.5530948724951764e-11
