,KE0 0 battery,KE0 1 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE1 0 battery
48,1.5031543872124837e-10,1.4629396437716743e-10,1.438301460431668e-10,1.671818939921738e-10,1.4496427403077056e-10,1.4807884519033456e-10,1.3781607205369354e-10,1.467735753494989e-10,1.433854505750643e-10,51.55270375863909
49,1.5030380717490173e-10,1.4628614798540237e-10,1.438442312471702e-10,1.6721289957323082e-10,1.44955841157206e-10,1.4807138556929377e-10,1.3783986865342095e-10,1.4676615573667344e-10,1.4337895432107163e-10,43.93330494363245
50,1.5043266811054884e-10,1.4639102361603198e-10,1.4390139464749264e-10,1.673916102595425e-10,1.450615787862776e-10,1.4818737513094256e-10,1.3790970131871232e-10,1.4685875057892537e-10,1.4346441454437936e-10,-103.17953024786634
51,1.5064494021968045e-10,1.4672362741692621e-10,1.442898030014673e-10,1.675049830109409e-10,1.4535401845523694e-10,1.4833967982463042e-10,1.3824825406204666e-10,1.4717930929076824e-10,1.436133740924982e-10,-103.17953024786634
52,1.504346671694512e-10,1.464036699835679e-10,1.439801961526223e-10,1.67371243277395e-10,1.4507139899278066e-10,1.4819021435703386e-10,1.3791470595916613e-10,1.468849688677523e-10,1.4347953071892312e-10,-102.87379270205334
53,3.0413012203062755e-09,3.0410077687648876e-09,3.0411186941189145e-09,3.0417467942577436e-09,3.0412833105352174e-09,3.0413556045538027e-09,3.0409763351325498e-09,3.0412429371115262e-09,3.0409997239641346e-09,55.671302888691976
54,1.5046269279589002e-10,1.4644755995252783e-10,1.4399132918378653e-10,1.6731371219811347e-10,1.4511199400136514e-10,1.4820177785995392e-10,1.3793902357499667e-10,1.4692810390051356e-10,1.4348809224508963e-10,64.65705027730719
55,1.5031667844063514e-10,1.4629613026700183e-10,1.4385013802296707e-10,1.6727683762343984e-10,1.4496590548310824e-10,1.4807798708130035e-10,1.3787783946969972e-10,1.4677629936179608e-10,1.4338432026738736e-10,52.696120353823034
56,1.5031932172325216e-10,1.4629808575474529e-10,1.438298359596967e-10,1.6718087183401016e-10,1.4496790113467417e-10,1.480789587843341e-10,1.3781710004383515e-10,1.4677828965591398e-10,1.433855472002462e-10,51.562765065029446
57,1.5030500391269988e-10,1.4628845113714632e-10,1.4384538144498627e-10,1.6721731264190856e-10,1.449569879779687e-10,1.4807084162685075e-10,1.3784223655290746e-10,1.4676868085985323e-10,1.4337910737233065e-10,51.58882644828096
