name,carrier,bus,p_nom_min,p_nom,p_nom_extendable,efficiency,marginal_cost,capital_cost,p_nom_max,weight,control,p_max_pu,p_nom_opt
KE0 2 solar,solar,KE0 2,67.51335773471605,67.51335773471605,True,1.0,0.020449281342618034,44916.77823784627,257281.73190314032,42519.370180825645,,1.0,67.5133599505034
KE0 3 onwind,onwind,KE0 3,6.850670057807152,6.850670057807152,True,1.0,0.024100163118941774,210505.9951775678,67727.79671170926,4254.428538543806,,1.0,6.850672027068165
KE0 3 solar,solar,KE0 3,23.802685037402888,23.802685037402888,True,1.0,0.020217168475384815,44916.77823784628,97290.44139084073,15001.990566254717,,1.0,23.802729748221726
KE0 4 onwind,onwind,KE0 4,4.48113485335058,4.48113485335058,True,1.0,0.025852488627174257,210505.9951775678,34717.47681562838,2444.6053284462346,,1.0,4.481150391837658
KE0 4 ror,ror,KE0 4,0.0,225.0,False,0.9,0.010894648231969797,372264.3429108993,inf,225.0,,1.0,225.0
KE0 4 solar,solar,KE0 4,12.90152504346562,12.90152504346562,True,1.0,0.02070285139373385,44916.77823784627,53157.58349598679,8130.401163830431,,1.0,12.90154577480317
KE0 5 onwind,onwind,KE0 5,81.5561366386259,81.5561366386259,True,1.0,0.02432903683844365,210505.9951775678,191852.49327382696,53249.39277296734,,1.0,81.556141362625
KE0 5 solar,solar,KE0 5,72.8325126762964,72.8325126762964,True,1.0,0.019778127378071417,44916.77823784627,293295.7335247049,45896.77535370297,,1.0,72.8325128126682
KE0 6 onwind,onwind,KE0 6,18.84428409786228,18.84428409786228,True,1.0,0.02413358305135731,210505.9951775678,60254.774570250534,12131.68919296368,,1.0,18.844285369523824
KE0 6 solar,solar,KE0 6,21.661389424671246,21.661389424671246,True,1.0,0.01910991301928123,44916.77823784627,88271.10928096369,13651.971482924906,,1.0,21.66140149942909
KE0 7 onwind,onwind,KE0 7,50.45832304807653,50.45832304807653,True,1.0,0.025866975566514686,210505.9951775678,96529.06281377148,21240.70995906914,,1.0,50.45832345808035
KE0 7 solar,solar,KE0 7,39.33436807777757,39.33436807777757,True,1.0,0.02038347869014053,44916.77823784627,144157.1621606207,24783.665028550844,,1.0,283.8450009466115
KE0 8 onwind,onwind,KE0 8,0.8560448214203994,0.8560448214203994,True,1.0,0.025214638759873974,210505.9951775678,23352.649379689483,556.893377010423,,1.0,0.856047089560418
KE0 8 ror,ror,KE0 8,0.0,20.0,False,0.9,0.009320031688580132,372264.3429108993,inf,20.0,,1.0,20.0
KE0 8 solar,solar,KE0 8,10.11828744754435,10.11828744754435,True,1.0,0.01908169117221857,44916.77823784628,39443.98005167861,6373.870704946032,,1.0,10.118299027225767
KE0 9 onwind,onwind,KE0 9,13.696336322896263,13.696336322896263,True,1.0,0.025483487103656513,210505.9951775678,41016.19205224958,6338.921249333382,,1.0,13.69634097385261
KE0 9 solar,solar,KE0 9,17.565217589865007,17.565217589865007,True,1.0,0.020943203433738497,44916.77823784627,67023.00910103883,11066.957090787353,,1.0,17.565245904537818
KE1 0 oil,oil,KE1 0,412.2,412.2,False,0.35,157.53480500927162,45593.58829043868,inf,5.0,Slack,1.0,412.2
KE1 0 onwind,onwind,KE1 0,0.4168510154815921,0.4168510154815921,True,1.0,0.025886540960291103,210505.9951775678,7084.241703695034,250.53217658154193,,1.0,0.41685180671961397
KE1 0 solar,solar,KE1 0,5.8700228335867255,5.8700228335867255,True,1.0,0.019122203974980146,44916.77823784627,24416.343825532786,3698.9764130251424,,1.0,3417.8806277945037
KE2 0 onwind,onwind,KE2 0,164.94364970787336,164.94364970787336,True,1.0,0.02462079491083744,210505.9951775678,362035.684565593,98263.20054333372,Slack,1.0,164.9436607964122
KE2 0 solar,solar,KE2 0,136.1213126714917,136.1213126714917,True,1.0,0.01901579368724174,44916.778237846265,540501.0695804246,85681.5249474819,,1.0,136.12133321746305
