,1 hydro,2 hydro,3 hydro,4 hydro,5 hydro
108,1.8601458704993125e-06,1.8498871008285099e-06,1.8793712820070577e-06,1.763061915364014e-06,0.0009903561416476762
109,1.8561415111418996e-06,1.8469625305483082e-06,1.8744265133562836e-06,1.7672772443020952e-06,0.0009828146581968163
110,1.8542473598351437e-06,1.8458079047965399e-06,1.871842928835125e-06,1.7695925167082683e-06,0.0009774924279584017
111,1.8609164377831439e-06,1.8515223997504403e-06,1.879348167882421e-06,1.7719581398127218e-06,0.0009829840554505054
112,1.879191699272134e-06,1.8659699961479822e-06,1.90171362053018e-06,1.772833210495741e-06,0.0010087503338654053
113,1.9137388245087473e-06,1.8919203090961915e-06,1.9468346575294612e-06,1.7707489771874157e-06,0.001082314670135574
114,1.9122671845199764e-06,1.890489612531009e-06,1.945310950139037e-06,1.792921263632994e-06,0.0010847251476679347
115,1.9310893628539597e-06,1.9027474477594617e-06,1.9670502952098727e-06,1.7859677948078206e-06,0.001125028707823539
116,2.2201868948255137e-06,2.074664321342062e-06,2.345202215168869e-06,1.7823481206995913e-06,0.0015139732173685577
117,2.1695718520028277e-06,2.048092485578914e-06,2.280819429256146e-06,1.81633839552575e-06,0.001402843126153574
118,1.8942301906620482e-06,1.877292242302642e-06,1.9214054371240087e-06,1.7856739752580486e-06,0.0010375544297489864
119,1.8843351991237668e-06,1.8698860410132353e-06,1.9084088627647818e-06,1.7703565186614762e-06,0.0010173799536596826
120,1.8874064385186635e-06,1.8721247265115424e-06,1.91254005029279e-06,1.7684955430832889e-06,0.0010243907112283358
121,1.8772743913992307e-06,1.8641787092076504e-06,1.8997239477590982e-06,1.7666998104755998e-06,0.0010092771378867045
122,1.8846231837927765e-06,1.8692147397666462e-06,1.909851254954008e-06,1.771958505966432e-06,0.0010292495848982293
123,1.881692304088595e-06,1.8667423417352905e-06,1.9062692097402823e-06,1.7757358619383185e-06,0.001025883460784875
124,1.871314433549492e-06,1.8589169636885765e-06,1.8927556836404825e-06,1.764200762103805e-06,0.0010052654562136437
125,1.8522015003621135e-06,1.8440589283333565e-06,1.8694567941370237e-06,1.7672740080552655e-06,0.0009749174231545171
126,1.8604475575253527e-06,1.8508885985002734e-06,1.8790900389809315e-06,1.7642669831404965e-06,0.0009844019235325562
127,1.878188888260507e-06,1.8650334053591709e-06,1.9007034952490132e-06,1.7650173435601068e-06,0.001008112303373959
128,1.8682351895121185e-06,1.8575035742025428e-06,1.8877939385446373e-06,1.7675465059837594e-06,0.0009905184666475753
129,1.863573124521419e-06,1.8537864155087063e-06,1.8822222058549215e-06,1.771925173857681e-06,0.0009842597442033091
130,1.9125633303573453e-06,1.8907797414450955e-06,1.9456984198394183e-06,1.7733295337324924e-06,0.0010817030809917802
131,1.9730654772075665e-06,1.928269106010457e-06,2.024425572405438e-06,1.7915764952205105e-06,0.0011820869612204498
132,2.0700245427826148e-06,1.9889172381178907e-06,2.144906298560381e-06,1.8316255895597195e-06,0.001262987249755702
133,1.966645357439833e-06,1.9246973907376882e-06,2.0149885595659526e-06,1.8104128910074714e-06,0.0011748476849016108
134,1.8946772174307917e-06,1.8779746765655591e-06,1.9216093645180234e-06,1.7774157086636077e-06,0.0010325508169149195
135,1.8769646508434276e-06,1.8647377528788912e-06,1.8982577330162484e-06,1.7831939774683887e-06,0.0009991594111931697
136,1.8602691585902671e-06,1.8515575629601876e-06,1.8777105999773185e-06,1.7777312954088087e-06,0.0009768575937056925
137,1.8534978159818125e-06,1.8458547184675809e-06,1.8699490548624787e-06,1.7687541159726359e-06,0.0009703910122901749
138,1.8679537120949407e-06,1.8568703262768767e-06,1.8878970488591007e-06,1.7643954540018142e-06,0.0009931771105753124
139,1.8728041760242944e-06,1.8602733406929169e-06,1.8945002972641173e-06,1.763496106825638e-06,0.0010044981864463587
140,1.8999691578303107e-06,1.8810513439869485e-06,1.929728087674268e-06,1.7610545125805658e-06,0.0010575874159233028
141,1.8658380489488395e-06,1.855259908734025e-06,1.8854206978719728e-06,1.7649052309765112e-06,0.0009906071033948351
142,1.8522650369344366e-06,1.8444373346348088e-06,1.8691063648599627e-06,1.7669818412466503e-06,0.0009718702834238465
143,1.8496405197999993e-06,1.8425615893835357e-06,1.8656341580490593e-06,1.7689528011199531e-06,0.0009669753405074335
144,1.8489245424307619e-06,1.8420240505165202e-06,1.8647205698217032e-06,1.7683869962467086e-06,0.0009658740552992887
145,1.8469134600375917e-06,1.8401996583699563e-06,1.8625806654385488e-06,1.765035525089599e-06,0.0009647257810757972
146,1.8418723857493908e-06,1.8355761979049456e-06,1.8572194063748045e-06,1.7611064344137244e-06,0.0009618809604070942
147,1.8438832601294964e-06,1.837030875270716e-06,1.8598032848497464e-06,1.7625744151519794e-06,0.0009652643213314586
148,1.8578710562890554e-06,1.8485077804821134e-06,1.8763053532315589e-06,1.7611792106704075e-06,0.000982277924201861
149,1.8456493483704005e-06,1.838911413738824e-06,1.861435592435059e-06,1.7645459377901112e-06,0.0009647581378744988
150,1.8466343581809298e-06,1.8400664486615095e-06,1.8620913274379591e-06,1.7685294561594616e-06,0.0009634589698750388
151,1.8495922587673552e-06,1.8427978695118825e-06,1.8651572152614258e-06,1.7712797132854324e-06,0.0009648387192738678
152,1.8506862613504069e-06,1.8437894444729547e-06,1.8663126358384741e-06,1.7712486178467733e-06,0.0009654246059135512
153,1.8494712352666214e-06,1.842657395176514e-06,1.865064182624471e-06,1.7679324484943316e-06,0.0009648492905091762
