,KE0 0,KE0 1,KE0 2,KE0 3,KE0 4,KE0 5,KE0 6,KE0 7,KE0 8,KE1 0
34,31.103709313982478,65.94922921950905,93.84237289803087,183.2756710436788,185.2304025930844,454.4909905731208,512.1867748599191,39.35866293602015,136.34784942991243,63.77165635077821
35,31.0237953510259,65.77978755556921,93.60126609511464,182.8047855605753,184.75449486832306,453.3232785225061,510.8708265098423,39.2575397323489,135.9975343958257,63.607809468985096
36,31.50454516456188,66.79912191630628,95.05172664363259,185.63755845561778,187.61748077810293,460.3480502873831,518.7873645029108,39.865880997260696,138.1049744611813,64.59348650158695
37,35.461410392351674,75.18886763004032,106.9899047710425,208.95301329516533,211.1816072220378,518.16622170831,583.9453178234795,44.872901967387456,155.45049614307942,72.70621180343763
38,29.619737012495168,62.802761109282926,89.36511005195875,174.53150433932197,176.39297474592047,432.80701601955053,487.75010785639387,37.480842993998884,129.84263071535887,60.72908124537175
39,23.910905870614442,50.698320132459834,72.14111096489718,140.89275573087588,142.39545116852725,349.3889164451163,393.7424195365542,30.25688271312879,104.81709948059937,49.02431593685028
40,23.436268581158192,49.69194616328166,70.70909238927216,138.0960003069708,139.56886687518227,342.4534615876168,385.9265368692877,29.65627624192001,102.73645459598715,48.05117135756816
41,28.08826020843486,59.555569149771834,84.74452233103686,165.50742183782427,167.27264565222825,410.4289001912811,462.53118116420666,35.54291080987042,123.12916877493534,57.58910808423443
42,31.1028328276618,65.94737080459504,93.83972846886282,183.2705064307717,185.22518289686082,454.4781832538367,512.1723417034982,39.357553829407976,136.3440072185648,63.76985929873294
43,31.033704222482537,65.80079734666528,93.63116195097045,182.8631726502683,184.81350468707578,453.46806809594,511.03399653122597,39.270078427582995,136.04097144379162,63.628125539296114
44,31.365538188796503,66.50438527202635,94.63233150578844,184.81847297272657,186.78965931718494,458.31686431292513,516.4983277233556,39.689981439761766,137.49561620072316,64.30848174542156
45,35.35613464650166,74.9656513498137,106.67227944541185,208.33268590043204,210.5546637089592,516.6279203587284,582.2117353689378,44.7396859398577,154.98900386899473,72.4903658855554
46,29.51499748384535,62.58068177097826,89.04910253640814,173.9143365538237,175.76922454097325,431.2765499375899,486.0253553248563,37.348305496217144,129.38348903108118,60.514334728807704
47,24.631562427542303,52.22632902624192,74.31538930141166,145.139156464939,146.687142002684,359.91923323514357,405.6095172498356,31.16880219612131,107.97620731313388,50.50187161458029
48,24.138327083968434,51.1805215823724,72.82725891249562,142.23281376274164,143.74980162501222,352.7120214642379,397.4873792333755,30.54466172979021,105.81403502428445,49.49059561167889
49,28.758216079740844,60.97607732381948,86.76583265340595,169.45507356784026,171.26240116688066,420.21837271098644,473.5633874377015,36.3906735977282,126.06602242616367,58.96271260078336
50,32.15215943475409,68.17225916883108,97.00563057270973,189.45356441004535,191.47418644564218,469.81106475288396,529.4516701988845,40.68537270211642,140.9438902994648,65.92128423367264
51,31.858139927801215,67.54884928342791,96.11855025916128,187.72108221981034,189.72322642047823,465.5148177807337,524.6100321327646,40.31332014227684,139.6550109873936,65.31845867455529
52,31.96534464756179,67.7761555691681,96.44199545300118,188.35277591122278,190.36165745777586,467.08130551974426,526.3753791243289,40.44897709520206,140.12495921255658,65.53825955035244
53,33.99501123092428,72.07965986809673,102.565661490767,200.31239465976432,202.4488318385162,496.7390279056363,559.7980288436682,43.01731909327868,149.0223119658125,69.69966674954664
54,30.319036988745953,64.28548762146225,91.47495388043774,178.6520634377372,180.55748177711362,443.0252679876882,499.2655253868199,38.365737839773715,132.9081187221324,62.16284971720881
55,24.692734015340495,52.35603121142827,74.49994886294093,145.49960427164098,147.05143417506562,360.81307953664674,406.6168337068903,31.246208780689923,108.24436228970922,50.62729117261815
56,24.143038051274342,51.190510251555445,72.84147227676574,142.2605726928917,143.7778566187709,352.78085866226485,397.5649550339504,30.55062299223721,105.83468626733752,49.500254465710725
57,28.758216079740844,60.97607732381948,86.76583265340595,169.45507356784026,171.26240116688066,420.21837271098644,473.5633874377015,36.3906735977282,126.06602242616367,58.96271260078336
