,KE0 0 battery,KE0 1 battery,KE0 10 battery,KE0 11 battery,KE0 12 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE0 9 battery,KE1 0 battery,KE2 0 battery
62,3.497490078906117e-05,3.473282402972951e-05,3.5154224829876365e-05,3.515586684564516e-05,3.539883537293023e-05,3.498569203061422e-05,3.517101628901597e-05,3.493231226720966e-05,3.525508512470554e-05,3.523641301535796e-05,3.5049710435979084e-05,3.509670356878292e-05,3.5363175267253144e-05,9.072527138831155e-06,3.525601323244383e-05
63,2.953395678143264e-05,2.9465222488213698e-05,2.9680533330074257e-05,2.9766200528470916e-05,2.9907762802138332e-05,2.9548032813094946e-05,2.9739303040672194e-05,2.9444011047069117e-05,2.9689775539054824e-05,2.967940691017534e-05,2.962165755792861e-05,2.9392163011214366e-05,2.973492569565208e-05,9.08914264713608e-06,2.979909113630798e-05
64,2.7771146234018088e-05,2.768819721499999e-05,2.7920056062402893e-05,2.7997216251166066e-05,2.8141908307755013e-05,2.7787744875141778e-05,2.796374135949206e-05,2.7649691299981315e-05,2.784689715040259e-05,2.776101994092778e-05,2.7829744831871423e-05,2.7581413683519903e-05,2.7919814475250937e-05,9.095322897985788e-06,2.8040914323117902e-05
65,2.7146387032724433e-05,2.703879793789206e-05,2.729879551568967e-05,2.7294090688696837e-05,2.7480747445862275e-05,2.7140515995183207e-05,2.7317390406945497e-05,2.728034664426962e-05,2.748989820916967e-05,2.747403775433891e-05,2.7253340625591336e-05,2.7273435704029924e-05,2.763543021144884e-05,9.205052874375862e-06,2.7394780898977483e-05
66,2.8021218129188054e-05,2.7724336864229302e-05,2.8215418443779887e-05,2.8170377939185965e-05,2.833478231478349e-05,2.801886243291443e-05,2.8165244246617315e-05,2.8082009959858144e-05,2.835099212579569e-05,2.833603175794727e-05,2.8661632359586822e-05,2.7906206107497568e-05,2.836126807777064e-05,514.320031375122,2.8202126086007675e-05
67,3.044371359515593e-05,3.0415630305351806e-05,3.060416301032374e-05,3.062037255376948e-05,3.079497365693399e-05,3.040827105571609e-05,3.061997925923398e-05,3.038761626992068e-05,3.071384169640558e-05,3.068111756131846e-05,3.071855572612032e-05,3.02046145621484e-05,3.058788339375628e-05,921.9601545484828,3.063301112402125e-05
68,3.39808769563684e-05,3.3729385740343464e-05,3.409137528499168e-05,3.412515492283346e-05,3.435271328598316e-05,3.3973863194679534e-05,3.4148475152124676e-05,3.407577914219549e-05,3.449874701593588e-05,3.44657449956852e-05,3.457231624381381e-05,3.396210498071075e-05,3.4331277232498386e-05,599.9251066289584,3.424965446997922e-05
69,1.6032325544971684e-06,1.5991953873558313e-06,1.6097611425163493e-06,1.6102187913360907e-06,1.6180067751057626e-06,1.603047796500647e-06,1.6100056950187798e-06,1.609346832494306e-06,1.6175927507653474e-06,1.6168947442988816e-06,1.6154747945541155e-06,1.6029935841119942e-06,1.6223550059839902e-06,9.206180157882278e-06,1.6140520122753161e-06
70,3.649987236233064e-05,3.627423785889675e-05,3.6708454253624775e-05,3.6773482920024765e-05,3.6940942141459055e-05,3.6526317406167934e-05,3.670626652061409e-05,3.6455576318185275e-05,3.670452733696226e-05,3.66872969509505e-05,3.660672133640451e-05,3.657456388322576e-05,3.6978424754069405e-05,9.06850865780468e-06,3.679901725976706e-05
71,2.902841680642998e-05,2.892809144990191e-05,2.9176769054732294e-05,2.925867218954813e-05,2.9390211223705442e-05,2.904481668797718e-05,2.924439201363758e-05,2.8926368432266e-05,2.913274730752505e-05,2.9120962533391078e-05,2.912107673624972e-05,2.8891415512780685e-05,2.92054388055218e-05,9.078171859907677e-06,2.929747657455062e-05
72,2.7532041770898748e-05,2.755823501976177e-05,2.7681513105316402e-05,2.7759261335843e-05,2.7894977969170152e-05,2.754742486411563e-05,2.7727299352995186e-05,2.743595174237382e-05,2.7659999077016884e-05,2.7652143888704217e-05,2.7610385088793232e-05,2.7355242651389455e-05,2.7701759196179794e-05,9.085255171966516e-06,2.780729514336209e-05
73,2.714663731764626e-05,2.6975182990621623e-05,2.730034982352472e-05,2.7296045123312507e-05,2.7470472926829872e-05,2.7135165069026865e-05,2.7319161667317883e-05,2.735557959131472e-05,2.7596934334493206e-05,2.7575592268874257e-05,2.7368807163310314e-05,2.7350654270927923e-05,2.7723587232391174e-05,9.226971587216862e-06,2.7399050033507414e-05
74,2.88571864330814e-05,2.859813631201017e-05,2.9018527261280412e-05,2.905663758328913e-05,2.9186193221300072e-05,2.88398566684378e-05,2.8990011578789135e-05,2.887432124785601e-05,2.918123247692449e-05,2.914731577414551e-05,2.9308397038576107e-05,2.8663962407727496e-05,2.905034565648922e-05,528.322193656736,2.9079477224491184e-05
75,2.9523897969508625e-05,2.955632044689317e-05,2.965444213679819e-05,2.9661400430836543e-05,2.9853826610307886e-05,2.948119987298302e-05,2.96872359079837e-05,2.9435571562371134e-05,2.978393281772343e-05,2.9743322067036617e-05,2.9681448475097166e-05,2.9316563347091183e-05,2.965599758034568e-05,883.2078462766892,2.9645049543740883e-05
76,3.532548937857473e-05,3.5151576048018005e-05,3.552179214969961e-05,3.556065235829909e-05,3.571780004594926e-05,3.5316863825419586e-05,3.542677111222558e-05,3.527455407663329e-05,3.554198076277956e-05,3.5527331804932834e-05,3.594155040315971e-05,3.508948864808785e-05,3.550891824382406e-05,624.67464934909,3.561803712688968e-05
77,1.5089652697366285e-06,1.499565123499243e-06,1.5148296439553333e-06,1.5146838339266494e-06,1.521114554341693e-06,1.5091344229257263e-06,1.514654567563777e-06,1.5122653116994446e-06,1.5183641558390984e-06,1.5179536626186485e-06,1.5203261015883654e-06,1.5114833775254541e-06,1.5225236085435634e-06,9.127215476084684e-06,1.5182882134830843e-06
